# rs   ecorr_hd [Ry-au]
       0.001000000047      -0.525713206422
       0.011004502299      -0.376941640641
       0.021009004550      -0.337078441409
       0.031013506801      -0.313191673632
       0.041018009052      -0.296126502654
       0.051022511303      -0.282866364906
       0.061027013554      -0.272036945046
       0.071031515805      -0.262895426442
       0.081036018056      -0.254994553566
       0.091040520307      -0.248044063421
       0.101045022559      -0.241844863337
       0.111049524810      -0.236254452513
       0.121054027061      -0.231167324642
       0.131058529312      -0.226503180739
       0.141063031563      -0.222199491434
       0.151067533814      -0.218206614597
       0.161072036065      -0.214484482262
       0.171076538316      -0.211000288014
       0.181081040567      -0.207726832895
       0.191085542818      -0.204641316903
       0.201090045070      -0.201724439392
       0.211094547321      -0.198959718236
       0.221099049572      -0.196332966863
       0.231103551823      -0.193831887190
       0.241108054074      -0.191445748937
       0.251112556325      -0.189165134224
       0.261117058576      -0.186981732127
       0.271121560827      -0.184888171909
       0.281126063078      -0.182877886505
       0.291130565329      -0.180944999910
       0.301135067581      -0.179084233617
       0.311139569832      -0.177290828360
       0.321144072083      -0.175560478261
       0.331148574334      -0.173889275093
       0.341153076585      -0.172273660842
       0.351157578836      -0.170710387139
       0.361162081087      -0.169196480400
       0.371166583338      -0.167729211728
       0.381171085589      -0.166306070828
       0.391175587840      -0.164924743306
       0.401180090092      -0.163583090838
       0.411184592343      -0.162279133781
       0.421189094594      -0.161011035883
       0.431193596845      -0.159777090787
       0.441198099096      -0.158575710086
       0.451202601347      -0.157405412717
       0.461207103598      -0.156264815526
       0.471211605849      -0.155152624837
       0.481216108100      -0.154067628919
       0.491220610351      -0.153008691219
       0.501225112603      -0.151974744288
       0.511229614854      -0.150964784302
       0.521234117105      -0.149977866111
       0.531238619356      -0.149013098775
       0.541243121607      -0.148069641498
       0.551247623858      -0.147146699946
       0.561252126109      -0.146243522899
       0.571256628360      -0.145359399188
       0.581261130611      -0.144493654913
       0.591265632863      -0.143645650882
       0.601270135114      -0.142814780282
       0.611274637365      -0.142000466534
       0.621279139616      -0.141202161317
       0.631283641867      -0.140419342766
       0.641288144118      -0.139651513793
       0.651292646369      -0.138898200555
       0.661297148620      -0.138158951028
       0.671301650871      -0.137433333694
       0.681306153122      -0.136720936320
       0.691310655374      -0.136021364833
       0.701315157625      -0.135334242272
       0.711319659876      -0.134659207811
       0.721324162127      -0.133995915862
       0.731328664378      -0.133344035222
       0.741333166629      -0.132703248297
       0.751337668880      -0.132073250366
       0.761342171131      -0.131453748896
       0.771346673382      -0.130844462905
       0.781351175633      -0.130245122364
       0.791355677885      -0.129655467635
       0.801360180136      -0.129075248949
       0.811364682387      -0.128504225915
       0.821369184638      -0.127942167054
       0.831373686889      -0.127388849371
       0.841378189140      -0.126844057943
       0.851382691391      -0.126307585538
       0.861387193642      -0.125779232253
       0.871391695893      -0.125258805174
       0.881396198144      -0.124746118056
       0.891400700396      -0.124240991019
       0.901405202647      -0.123743250267
       0.911409704898      -0.123252727809
       0.921414207149      -0.122769261215
       0.931418709400      -0.122292693368
       0.941423211651      -0.121822872235
       0.951427713902      -0.121359650658
       0.961432216153      -0.120902886141
       0.971436718404      -0.120452440659
       0.981441220655      -0.120008180477
       0.991445722907      -0.119569975970
       1.001450225158      -0.119137701459
       1.011454727409      -0.118711235055
       1.021459229660      -0.118290458507
       1.031463731911      -0.117875257059
       1.041468234162      -0.117465519316
       1.051472736413      -0.117061137115
       1.061477238664      -0.116662005399
       1.071481740915      -0.116268022102
       1.081486243166      -0.115879088038
       1.091490745418      -0.115495106793
       1.101495247669      -0.115115984621
       1.111499749920      -0.114741630353
       1.121504252171      -0.114371955298
       1.131508754422      -0.114006873158
       1.141513256673      -0.113646299940
       1.151517758924      -0.113290153879
       1.161522261175      -0.112938355360
       1.171526763426      -0.112590826839
       1.181531265678      -0.112247492777
       1.191535767929      -0.111908279571
       1.201540270180      -0.111573115489
       1.211544772431      -0.111241930603
       1.221549274682      -0.110914656738
       1.231553776933      -0.110591227405
       1.241558279184      -0.110271577755
       1.251562781435      -0.109955644517
       1.261567283686      -0.109643365957
       1.271571785937      -0.109334681819
       1.281576288189      -0.109029533287
       1.291580790440      -0.108727862935
       1.301585292691      -0.108429614686
       1.311589794942      -0.108134733767
       1.321594297193      -0.107843166676
       1.331598799444      -0.107554861136
       1.341603301695      -0.107269766060
       1.351607803946      -0.106987831520
       1.361612306197      -0.106709008706
       1.371616808448      -0.106433249897
       1.381621310700      -0.106160508430
       1.391625812951      -0.105890738664
       1.401630315202      -0.105623895956
       1.411634817453      -0.105359936631
       1.421639319704      -0.105098817951
       1.431643821955      -0.104840498093
       1.441648324206      -0.104584936123
       1.451652826457      -0.104332091966
       1.461657328708      -0.104081926390
       1.471661830959      -0.103834400976
       1.481666333211      -0.103589478100
       1.491670835462      -0.103347120909
       1.501675337713      -0.103107293302
       1.511679839964      -0.102869959910
       1.521684342215      -0.102635086073
       1.531688844466      -0.102402637826
       1.541693346717      -0.102172581878
       1.551697848968      -0.101944885596
       1.561702351219      -0.101719516986
       1.571706853470      -0.101496444676
       1.581711355722      -0.101275637906
       1.591715857973      -0.101057066503
       1.601720360224      -0.100840700875
       1.611724862475      -0.100626511991
       1.621729364726      -0.100414471369
       1.631733866977      -0.100204551061
       1.641738369228      -0.099996723643
       1.651742871479      -0.099790962197
       1.661747373730      -0.099587240305
       1.671751875981      -0.099385532030
       1.681756378233      -0.099185811911
       1.691760880484      -0.098988054948
       1.701765382735      -0.098792236588
       1.711769884986      -0.098598332724
       1.721774387237      -0.098406319673
