# rs    Ecorr  [Ry] 
#
1       -0.1183
2       -0.08838
3       -0.07332
4       -0.06360
5       -0.05672
6       -0.05152
7       -0.04744 
8       -0.04406
9       -0.04128
10      -0.03888
